species	superkingdom	phylum	class	order	family
streptomyces_cirratus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
halogeometricum_borinquense	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae
sphingobium_japonicum	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
eubacterium_moniliforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
flavobacterium_saliperosum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
clostridium_halophilum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
lactobacillus_farciminis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
halorhodospira_neutriphila	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
fructobacillus_durionis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
gordonia_defluvii	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae
nocardiopsis_halophila	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
actinobacillus_rossii	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
caloramator_proteoclasticus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
streptococcus_dentirousetti	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
sulfobacillus_thermosulfidooxidans	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
micromonospora_rhizosphaerae	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
pseudomonas_ficuserectae	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
streptomyces_reticuliscabiei	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
desulfitibacter_alkalitolerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
bacillus_alcalophilus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
acetobacterium_carbinolicum	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
streptomyces_rubrus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
paenibacillus_aestuarii	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
methylocella_silvestris	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae
halomonas_gudaonensis	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae
mycobacterium_palustre	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
clostridium_josui	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae
actinosynnema_mirum	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
nonomuraea_africana	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
streptococcus_hyovaginalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
micromonospora_inyonensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
amycolatopsis_albidoflavus	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
tetragenococcus_koreensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
succiniclasticum_ruminis	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae
microtetraspora_malaysiensis	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
amycolatopsis_palatopharyngis	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
geobacter_bemidjiensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae
acinetobacter_haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
actinoplanes_tereljensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
dorea_formicigenerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
hoeflea_marina	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
methanosaeta_thermophila	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae
sphingomonas_faeni	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
helicobacter_pullorum	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae
solitalea_koreensis	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae
dermacoccus_profundi	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae
pseudomonas_pictorum	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
actinomadura_livida	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
psychrobacter_salsus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
vibrio_inusitatus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
photorhabdus_temperata	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae
actinocorallia_glomerata	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
erwinia_amylovora	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae
hydrogenoanaerobacterium_saccharovorans	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
mycobacterium_aichiense	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
nocardia_pneumoniae	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
bacillus_pocheonensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
streptomonospora_alba	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
phenylobacterium_zucineum	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
jannaschia_rubra	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
tsukamurella_soli	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Tsukamurellaceae
hippea_jasoniae	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae
methanogenium_marinum	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
bacillus_mojavensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
microbacterium_resistens	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
agromyces_cerinus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
lactobacillus_pentosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
rubellimicrobium_mesophilum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
balneola_vulgaris	Bacteria	Balneolaeota	Balneolia	Balneolales	Balneolaceae
pannonibacter_phragmitetus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
lactobacillus_floricola	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
mycobacterium_holsaticum	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
muricauda_ruestringensis	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
anaerobranca_horikoshii	Bacteria	Firmicutes	Clostridia	Clostridiales	Proteinivoraceae
longispora_fulva	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
yaniella_soli	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
lactobacillus_suebicus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
massilia_albidiflava	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae
rhodospirillum_molischianum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae
actinopolymorpha_cephalotaxi	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae
hymenobacter_rigui	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae
clostridium_hungatei	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae
streptomyces_netropsis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
arcobacter_halophilus	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
pontibacillus_halophilus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
streptomyces_olivaceiscleroticus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
streptomyces_galbus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
butyrivibrio_hungatei	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
desulfofustis_glycolicus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae
arthrobacter_arilaitensis	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
bacteroides_caccae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
pseudomonas_psychrotolerans	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
sulfurihydrogenibium_azorense	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae
bacteroides_uniformis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
clostridium_histolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
psychroflexus_gondwanensis	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
lysinibacillus_boronitolerans	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
treponema_saccharophilum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae
arthrobacter_roseus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
avibacterium_endocarditidis	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
bacillus_endophyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
pantoea_ananatis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae
halalkalibacillus_halophilus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
xanthomonas_perforans	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
andreprevotia_lacus	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae
burkholderia_caledonica	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
alicyclobacillus_pohliae	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
desulfonatronovibrio_halophilus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae
rhizobium_halophytocola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae
streptomyces_violascens	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
paenibacillus_macerans	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
bacteroides_coprosuis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
kribbella_sancticallisti	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae
xylanimonas_cellulosilytica	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae
kitasatospora_nipponensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
mycetocola_saprophilus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
methanolobus_vulcani	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
clostridium_lundense	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
friedmanniella_lacustris	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae
streptomyces_lateritius	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
paracoccus_seriniphilus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
aquaspirillum_serpens	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae
lactobacillus_siliginis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
luteimonas_terricola	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
paraprevotella_xylaniphila	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
peptoniphilus_asaccharolyticus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae
heliobacterium_chlorum	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae
actinoplanes_ianthinogenes	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
mycobacterium_cookii	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
zobellia_galactanivorans	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
rhodococcus_baikonurensis	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
sporosarcina_ureae	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae
geobacillus_thermocatenulatus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
pyramidobacter_piscolens	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
alicyclobacillus_disulfidooxidans	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae
anaerobiospirillum_thomasii	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae
helicobacter_pylori	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae
amycolatopsis_balhimycina	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
methanomethylovorans_hollandica	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae
chryseobacterium_piperi	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
mycoplasma_pneumoniae	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae
geodermatophilus_obscurus	Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae
methylobacterium_aquaticum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae
kytococcus_schroeteri	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae
mycoplasma_adleri	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae
burkholderia_rhizoxinica	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
arcanobacterium_haemolyticum	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
streptomyces_halstedii	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
picrophilus_oshimae	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae
corallococcus_coralloides	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae
devosia_limi	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae
xylanibacter_oryzae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
deinococcus_deserti	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
hyphomonas_polymorpha	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae
methanofollis_ethanolicus	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
thermococcus_barophilus	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae
idiomarina_ramblicola	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae
streptomyces_prasinus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
vibrio_hippocampi	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
sulfurospirillum_cavolei	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae
saccharopolyspora_erythraea	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
pectinatus_cerevisiiphilus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae
saccharomonospora_glauca	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
fusobacterium_simiae	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
mycobacterium_novocastrense	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
bibersteinia_trehalosi	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
acinetobacter_guillouiae	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
vibrio_rhizosphaerae	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
methanobacterium_veterum	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae
paenibacillus_barengoltzii	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
anoxybacillus_caldiproteolyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
yersinia_similis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
herbidospora_osyris	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
marinospirillum_alkaliphilum	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae
corynebacterium_spheniscorum	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae
pseudoalteromonas_espejiana	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae
actinomyces_urogenitalis	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
sulfobacillus_sibiricus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
paenibacillus_glucanolyticus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
paenibacillus_ehimensis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
chromatium_vinosum	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae
methanococcus_aeolicus	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae
streptococcus_equinus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
friedmanniella_sagamiharensis	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae
kineosporia_rhizophila	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae
eubacterium_minutum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis
propionibacterium_propionicum	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae
streptomyces_cocklensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
clostridium_cellulolyticum	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae
lactobacillus_saerimneri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
trichococcus_collinsii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
streptomyces_violaceochromogenes	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
nocardia_araoensis	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
roseomonas_rosea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
bifidobacterium_choerinum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
actinoplanes_capillaceus	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
clostridium_amygdalinum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
bacillus_gibsonii	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
serratia_glossinae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
streptomyces_tauricus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
nonomuraea_longicatena	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
thermoplasma_volcanium	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae
streptomyces_luteogriseus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
thermodesulfovibrio_thiophilus	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae
burkholderia_multivorans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
stigmatella_aurantiaca	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae
enterococcus_durans	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
alcanivorax_balearicus	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae
geobacillus_jurassicus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
thioalkalivibrio_nitratireducens	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
mycobacterium_sphagni	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
bifidobacterium_reuteri	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
spiroplasma_culicicola	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae
streptomyces_lienomycini	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
pseudomonas_palleroniana	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
mycoplasma_microti	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae
vibrio_pomeroyi	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
hafnia_alvei	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae
streptomyces_kasugaensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
pasteurella_lymphangitidis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae
bacillus_siamensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
sulfophobococcus_zilligii	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae
methylobacter_whittenburyi	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae
sulfolobus_metallicus	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae
bacteroides_paurosaccharolyticus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
clostridium_ljungdahlii	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
polaromonas_vacuolata	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
brochothrix_thermosphacta	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae
deinococcus_aerophilus	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae
marinobacter_salsuginis	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
algoriphagus_ornithinivorans	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae
paenibacillus_ginsengihumi	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
bacillus_taeanensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
bacillus_luteolus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
thermobifida_halotolerans	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
actinomadura_fibrosa	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
phenylobacterium_composti	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
streptacidiphilus_carbonis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
thermoactinomyces_putidus	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae
derxia_gummosa	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
enterococcus_gallinarum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
acidicaldus_organivorans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
salinicola_salarius	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae
burkholderia_oxyphila	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
cohnella_luojiensis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
clostridium_rectum	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
eudoraea_adriatica	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
streptomyces_recifensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
achromobacter_insolitus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
vibrio_maritimus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
actinomyces_denticolens	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
sinomonas_atrocyanea	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
salmonella_subterranea	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
proteocatella_sphenisci	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
eubacterium_siraeum	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
methylobacterium_phyllosphaerae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae
aeromonas_ichthiosmia	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae
pseudomonas_thermocarboxydovorans	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
actinospica_acidiphila	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae
aminomonas_paucivorans	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae
desulfobulbus_propionicus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae
spiroplasma_litorale	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae
cellulomonas_gelida	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae
acidovorax_konjaci	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
leclercia_adecarboxylata	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae
