species	superkingdom	phylum	class	order	family
pandoraea_thiooxydans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae
kurthia_sibirica	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae
erwinia_rhapontici	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae
leuconostoc_pseudomesenteroides	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
paenibacillus_azoreducens	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
virgibacillus_necropolis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
desulfovibrio_psychrotolerans	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
lactobacillus_rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
nocardia_devorans	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
amycolatopsis_equina	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
rhodoblastus_acidophilus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae
methanoculleus_bourgensis	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
pseudomonas_amygdali	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
pyrococcus_horikoshii	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae
azohydromonas_lata	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
desulfovibrio_acrylicus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
acetobacterium_fimetarium	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
geopsychrobacter_electrodiphilus	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae
microbacterium_aoyamense	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
saccharomonospora_halophila	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
virgibacillus_proomii	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
psychromonas_japonica	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Psychromonadaceae
actinocatenispora_thailandica	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
streptomyces_hainanensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
microbacterium_awajiense	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
actinocorallia_herbida	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
methylophilus_luteus	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Methylophilaceae
mycobacterium_xenopi	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
microbacterium_saperdae	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
petrotoga_sibirica	Bacteria	Thermotogae	Thermotogae	Petrotogales	None
terrabacter_lapilli	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae
aeromonas_enteropelogenes	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae
tsukamurella_inchonensis	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Tsukamurellaceae
fodinicurvata_fenggangensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae
actinomadura_chibensis	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
thermoanaerobacter_thermohydrosulfuricus	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae
pusillimonas_soli	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae
actinoplanes_abujensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
paenibacillus_filicis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
myceligenerans_crystallogenes	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae
erythrobacter_vulgaris	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae
desulfovibrio_putealis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
rhodocyclus_tenuis	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae
planococcus_maritimus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae
aureimonas_altamirensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Aurantimonadaceae
paenibacillus_motobuensis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
salinimicrobium_xinjiangense	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
streptococcus_gallinaceus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
nonomuraea_antimicrobica	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
paenibacillus_urinalis	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
marinomonas_ostreistagni	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae
afipia_clevelandensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae
