species	superkingdom	phylum	class
clostridium_polysaccharolyticum	Bacteria	Firmicutes	
bacillus_badius	Bacteria	Firmicutes	
desulfosporosinus_hippei	Bacteria	Firmicutes	
linum_usitatissimum	Eukaryota	Streptophyta	
tabernaemontana_elegans	Eukaryota	Streptophyta	
echymipera_rufescens	Eukaryota	Chordata	
bacillus_carboniphilus	Bacteria	Firmicutes	
senecio_vulgaris	Eukaryota	Streptophyta	
pseudomonas_palleroniana	Bacteria	Proteobacteria	Gammaproteobacteria
moraxella_nonliquefaciens	Bacteria	Proteobacteria	Gammaproteobacteria
polaribacter_filamentus	Bacteria	Bacteroidetes	
psilocybe_squamosa	Eukaryota	Arthropoda	
streptomyces_fradiae	Bacteria	Actinobacteria	
leisingera_nanhaiensis	Bacteria	Proteobacteria	Alphaproteobacteria
thiocystis_violascens	Bacteria	Proteobacteria	Gammaproteobacteria
neisseria_animaloris	Bacteria	Proteobacteria	Betaproteobacteria
cylindrocarpon_candidum	Eukaryota	Ascomycota	
francisella_hispaniensis	Bacteria	Proteobacteria	Gammaproteobacteria
vagococcus_fluvialis	Bacteria	Firmicutes	
clostridium_phytofermentans	Bacteria	Firmicutes	
pectobacterium_atrosepticum	Bacteria	Proteobacteria	Gammaproteobacteria
roseisalinus_antarcticus	Bacteria	Proteobacteria	Alphaproteobacteria
veillonella_caviae	Bacteria	Firmicutes	
clostridium_collagenovorans	Bacteria	Firmicutes	
phenylobacterium_zucineum	Bacteria	Proteobacteria	Alphaproteobacteria
herpetosiphon_geysericola	Bacteria	Chloroflexi	
corynebacterium_marinum	Bacteria	Actinobacteria	
methanosalsum_zhilinae	Archaea	Euryarchaeota	
didelphis_marsupialis	Eukaryota	Chordata	
salinicoccus_albus	Bacteria	Firmicutes	
sulfurimonas_denitrificans	Bacteria	Proteobacteria	Epsilonproteobacteria
parvibaculum_indicum	Bacteria	Proteobacteria	Alphaproteobacteria
dietzia_aerolata	Bacteria	Actinobacteria	
shewanella_canadensis	Bacteria	Proteobacteria	Gammaproteobacteria
mycoplasma_gallinarum	Bacteria	Tenericutes	
marinobacter_flavimaris	Bacteria	Proteobacteria	Gammaproteobacteria
thermococcus_chitonophagus	Archaea	Euryarchaeota	
eurotium_herbariorum	Eukaryota	Ascomycota	
heterocephalus_glaber	Eukaryota	Chordata	
conium_maculatum	Eukaryota	Streptophyta	
atopobium_rimae	Bacteria	Actinobacteria	
sulfolobus_acidocaldarius	Archaea	Crenarchaeota	
nitratireductor_kimnyeongensis	Bacteria	Proteobacteria	Alphaproteobacteria
nocardioides_marinisabuli	Bacteria	Actinobacteria	
thiobacillus_aquaesulis	Bacteria	Proteobacteria	Betaproteobacteria
prevotella_melaninogenica	Bacteria	Bacteroidetes	
shewanella_frigidimarina	Bacteria	Proteobacteria	Gammaproteobacteria
dactylosporangium_vinaceum	Bacteria	Actinobacteria	
desulfatibacillum_aliphaticivorans	Bacteria	Proteobacteria	Deltaproteobacteria
streptomyces_pseudogriseolus	Bacteria	Actinobacteria	
mycoplasma_leachii	Bacteria	Tenericutes	
myceliophthora_lutea	Eukaryota	Ascomycota	
arthrobacter_tumbae	Bacteria	Actinobacteria	
spiroplasma_taiwanense	Bacteria	Tenericutes	
vibrio_lutjanus	Eukaryota	Chordata	
daedaleopsis_confragosa	Eukaryota	Basidiomycota	
moraxella_atlantae	Bacteria	Proteobacteria	Gammaproteobacteria
nematospora_coryli	Eukaryota	Ascomycota	
paenibacillus_chitinolyticus	Bacteria	Firmicutes	
nectria_diversispora	Eukaryota	Mucoromycota	
methylobacterium_cerastii	Bacteria	Proteobacteria	Alphaproteobacteria
solanum_marginatum	Eukaryota	Streptophyta	
thermotoga_neapolitana	Bacteria	Thermotogae	
herminiimonas_saxobsidens	Bacteria	Proteobacteria	Betaproteobacteria
microbacterium_thalassium	Bacteria	Actinobacteria	
amycolatopsis_rifamycinica	Bacteria	Actinobacteria	
diomedea_nigripes	Eukaryota	Chordata	
clostridium_lactatifermentans	Bacteria	Firmicutes	
enterococcus_aquimarinus	Bacteria	Firmicutes	
crossandra_pungens	Eukaryota	Streptophyta	
desulfovibrio_putealis	Bacteria	Proteobacteria	Deltaproteobacteria
crucibulum_laeve	Eukaryota	Basidiomycota	
streptomyces_luteireticuli	Bacteria	Actinobacteria	
pseudomonas_extremorientalis	Bacteria	Proteobacteria	Gammaproteobacteria
legionella_feeleii	Bacteria	Proteobacteria	Gammaproteobacteria
rhodovulum_euryhalinum	Bacteria	Proteobacteria	Alphaproteobacteria
leuconostoc_carnosum	Bacteria	Firmicutes	
nocardia_asteroides	Bacteria	Actinobacteria	
streptomyces_libani	Bacteria	Actinobacteria	
streptomyces_angustmyceticus	Bacteria	Actinobacteria	
aptenodytes_jorsteri	Eukaryota	Chordata	
endomyces_fibuliger	Eukaryota	Ascomycota	
granulicella_pectinivorans	Bacteria	Acidobacteria	
desulfovibrio_singaporenus	Bacteria	Proteobacteria	Deltaproteobacteria
roseospira_marina	Bacteria	Proteobacteria	Alphaproteobacteria
fusarium_melanochlorum	Eukaryota	Ascomycota	
phenylobacterium_conjunctum	Bacteria	Proteobacteria	Alphaproteobacteria
brevundimonas_halotolerans	Bacteria	Proteobacteria	Alphaproteobacteria
marinobacterium_litorale	Bacteria	Proteobacteria	Gammaproteobacteria
novosphingobium_soli	Bacteria	Proteobacteria	Alphaproteobacteria
pyrenochaeta_lycopersici	Eukaryota	Ascomycota	
clostridium_sordellii	Bacteria	Firmicutes	
conidiobolus_coronatus	Eukaryota	Zoopagomycota	
angulomicrobium_amanitiforme	Bacteria	Proteobacteria	Alphaproteobacteria
pasteurella_testudinis	Bacteria	Proteobacteria	Gammaproteobacteria
bacteroides_clarus	Bacteria	Bacteroidetes	
phytolacca_americana	Eukaryota	Streptophyta	
phellinus_fastuosus	Eukaryota	Basidiomycota	
bacillus_decolorationis	Bacteria	Firmicutes	
vibrio_litoralis	Bacteria	Proteobacteria	Gammaproteobacteria
ceratocystis_nothofagi	Eukaryota	Ascomycota	
rhodoferax_antarcticus	Bacteria	Proteobacteria	Betaproteobacteria
streptomyces_carpinensis	Bacteria	Actinobacteria	
streptomyces_toxytricini	Bacteria	Actinobacteria	
desulfonema_magnum	Bacteria	Proteobacteria	Deltaproteobacteria
corynebacterium_ammoniagenes	Bacteria	Actinobacteria	
ferrimonas_kyonanensis	Bacteria	Proteobacteria	Gammaproteobacteria
pseudokineococcus_lusitanus	Bacteria	Actinobacteria	
spiroplasma_corruscae	Bacteria	Tenericutes	
desulfosporosinus_acidiphilus	Bacteria	Firmicutes	
sphingomonas_desiccabilis	Bacteria	Proteobacteria	Alphaproteobacteria
pseudomonas_bauzanensis	Bacteria	Proteobacteria	Gammaproteobacteria
sediminimonas_qiaohouensis	Bacteria	Proteobacteria	Alphaproteobacteria
psychromonas_antarctica	Bacteria	Proteobacteria	Gammaproteobacteria
drechslera_biseptata	Eukaryota	Ascomycota	
