species	superkingdom	phylum	class
streptococcus_phocae	Bacteria	Firmicutes	
fructobacillus_pseudoficulneus	Bacteria	Firmicutes	
sphingomonas_melonis	Bacteria	Proteobacteria	Alphaproteobacteria
streptomyces_plumbiresistens	Bacteria	Actinobacteria	
saccharothrix_mutabilis	Bacteria	Actinobacteria	
streptomyces_xanthophaeus	Bacteria	Actinobacteria	
fodinicola_feengrottensis	Bacteria	Actinobacteria	
peptostreptococcus_russellii	Bacteria	Firmicutes	
azomonas_agilis	Bacteria	Proteobacteria	Gammaproteobacteria
runella_defluvii	Bacteria	Bacteroidetes	
desulfobacterium_autotrophicum	Bacteria	Proteobacteria	Deltaproteobacteria
vicia_faba	Eukaryota	Streptophyta	
astragalus_pectinatus	Eukaryota	Streptophyta	
streptococcus_gordonii	Bacteria	Firmicutes	
arcobacter_mytili	Bacteria	Proteobacteria	Epsilonproteobacteria
clostridium_caminithermale	Bacteria	Firmicutes	
